x averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
0 100 10 0.0 0.0 3.34 0.289395 2.05292 1.91175 3.34 3.34 7.16147 0.119494 7.24292 12.2846 -0.719024 4.905 4.90683 -0.0831313 0 8.19672 8.19672 4.66766 0.0 0.0 0.307115 -0.0179756 4339.4
1 100 10 0.061 0.061000000 3.6343 0.2943 2.19668 2.05529 3.6343 3.6343 7.42049 0.25902 7.25906 4.03434 -8.25025 4.82459 4.92252 -0.0804101 0 8.19672 8.19672 4.66766 0.221692 0.221692 0.100859 -0.206256 4721.76
2 100 10 0.112 0.051000000 3.88445 0.250155 2.33733 2.196 3.88445 3.88445 7.15656 -0.263928 7.25052 -2.44216 -6.47651 4.905 4.89671 0.080408 0 8.19672 8.19672 4.66766 0.419799 0.198107 -0.0610541 -0.161913 5046.77
3 100 10 0.171 0.059000000 4.17385 0.289395 2.4786 2.33727 4.17385 4.17385 7.33767 0.181114 7.25723 -5.37066 -2.9285 4.905 4.91422 2.13935e-06 0 8.19672 8.19672 4.66766 0.666056 0.246257 -0.134267 -0.0732125 5422.76
4 100 10 0.23 0.059000000 4.46815 0.2943 2.62071 2.47933 4.46815 4.46815 7.31791 -0.0197616 7.26156 -1.11533 4.25534 4.98814 4.90437 0.0831353 0 8.19672 8.19672 4.66766 0.929677 0.263621 -0.0278831 0.106383 5805.12
5 100 10 0.281 0.051000000 4.7183 0.250155 2.76055 2.61927 4.7183 4.7183 7.44309 0.125177 7.27366 1.1587 2.27403 4.905 4.90437 -0.0831375 0 8.19672 8.19672 4.66766 1.17031 0.240633 0.0289675 0.0568507 6130.13
6 100 10 0.34 0.059000000 5.0077 0.289395 2.901 2.75976 5.0077 5.0077 7.51469 0.0716029 7.28873 0.174716 -0.983984 4.905 4.91399 -1.90164e-06 0 8.19672 8.19672 4.66766 1.465764 0.295454 0.00436791 -0.0245996 6506.12
7 100 10 0.391 0.051000000 5.25295 0.24525 3.03935 2.89827 5.25295 5.25295 7.68076 0.166067 7.31179 -0.862719 -1.03744 4.80883 4.89606 -0.0961696 0 8.19672 8.19672 4.66766 1.733664 0.2679 -0.021568 -0.0259359 6824.75
8 100 10 0.45 0.059000000 5.54725 0.2943 3.17868 3.03769 5.54725 5.54725 7.42994 -0.250818 7.31835 -1.21847 -0.355749 4.98813 4.91228 0.179301 0 8.19672 8.19672 4.66766 2.060951 0.327287 -0.0304617 -0.00889372 7207.11
9 100 10 0.511 0.061000000 5.84155 0.2943 3.31883 3.17788 5.84155 5.84155 7.5887 0.158765 7.33258 -2.18226 -0.963795 4.82459 4.89593 -0.163537 0 8.19672 8.19672 4.66766 2.417285 0.356334 -0.0545566 -0.0240949 7589.48
10 100 10 0.571 0.060000000 6.13585 0.2943 3.45968 3.31874 6.13585 6.13585 7.37058 -0.218129 7.33448 -2.15567 0.0265944 4.905 4.89593 0.0804099 0 8.19672 8.19672 4.66766 2.785436 0.368151 -0.0538917 0.00066486 7971.84
11 100 10 0.63 0.059000000 6.34186 0.20601 3.59692 3.45615 6.34186 6.34186 7.53588 0.165303 7.34407 -7.16145 -5.00578 3.49169 4.76264 -1.41331 0 8.19672 8.19672 3.49169 3.159605 0.374169 -0.179036 -0.125145 8239.49
12 100 10 0.69 0.060000000 6.0502 -0.29166 3.70844 3.56894 6.34186 6.34186 6.87038 -0.665503 7.32254 -5.99639 1.16507 -4.861 3.78604 -8.35269 -4.861 8.19672 8.19672 -4.861 3.522617 0.363012 -0.14991 0.0291266 7860.56
13 100 10 0.742 0.052000000 6.30035 0.250155 3.82113 3.68275 6.34186 6.34186 6.5664 -0.303974 7.28966 1.91529 7.91168 4.81067 3.77661 9.67167 -4.861 8.19672 8.19672 -4.861 3.850235 0.327618 0.0478824 0.197792 8185.57
14 100 10 0.8 0.058000000 6.27225 -0.0281024 3.92326 3.78633 6.34186 6.34186 6.31567 -0.250737 7.24908 -0.134928 -2.05022 -0.484524 3.22934 -5.2952 -4.861 8.19672 8.19672 -4.861 4.214025 0.36379 -0.0033732 -0.0512556 8149.05
15 100 10 0.851 0.051000000 6.02209 -0.250155 4.00721 3.87232 6.34186 6.34186 6.15316 -0.162504 7.20524 -1.65806 -1.52313 -4.905 2.24834 -4.42048 -4.905 8.19672 8.19672 -4.905 4.521152 0.307127 -0.0414515 -0.0380782 7824.05
16 100 10 0.91 0.059000000 5.75649 -0.265604 4.07449 3.9421 6.34186 6.34186 5.97756 -0.175605 7.15803 -2.93192 -1.27386 -4.50175 1.30766 0.403244 -4.905 8.19672 8.19672 -4.905 4.860785 0.339633 -0.073298 -0.0318466 7478.97
17 100 10 0.961 0.051000000 5.68174 -0.0747471 4.13402 4.00423 6.34186 6.34186 5.77293 -0.204627 7.10673 -4.41332 -1.4814 -1.46563 0.680218 3.03613 -4.905 8.19672 8.19672 -4.905 5.150554 0.289769 -0.110333 -0.0370349 7381.86
