x averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
0 100 10 0.45 0.45 1.34 1.34 1.34 1.34 1.34 1.34 7.31 7.31 7.31 21.07 21.07 2.97 2.97 2.97 0.00 2.97 2.97 2.97 0.60 0.60 0.53 0.53 1740.45
1 100 10 0.50 0.05 0.93 -0.41 0.93 1.14 1.34 1.34 7.29 -0.02 7.29 20.76 -0.31 -7.82 -2.42 -10.79 -7.82 2.97 2.97 -7.82 0.65 0.05 0.52 -0.01 1212.35
2 100 10 0.55 0.05 1.27 0.34 1.10 1.18 1.34 1.34 7.29 0.00 7.29 20.64 -0.12 6.76 0.64 14.58 -7.82 6.76 6.76 -7.82 0.72 0.06 0.52 -0.00 1651.80
3 100 10 0.60 0.05 1.57 0.30 1.26 1.28 1.57 1.57 7.31 0.02 7.30 18.19 -2.45 6.21 2.03 -0.55 -7.82 6.76 6.76 -7.82 0.79 0.08 0.45 -0.06 2039.27
4 100 10 0.65 0.05 1.80 0.23 1.39 1.38 1.80 1.80 7.26 -0.05 7.29 15.90 -2.29 4.51 2.53 -1.70 -7.82 6.76 6.76 -7.82 0.88 0.09 0.40 -0.06 2332.32
5 100 10 0.70 0.05 1.77 -0.02 1.47 1.45 1.80 1.80 7.29 0.03 7.29 9.47 -6.43 -0.43 2.04 -4.94 -7.82 6.76 6.76 -7.82 0.97 0.09 0.24 -0.16 2304.97
6 100 10 0.75 0.05 2.32 0.54 1.61 1.57 2.32 2.32 7.29 0.00 7.29 6.40 -3.07 10.84 3.29 11.27 -7.82 10.84 10.84 -7.82 1.08 0.12 0.16 -0.08 3009.27
7 100 10 0.81 0.06 2.47 0.15 1.73 1.68 2.47 2.47 7.29 -0.00 7.29 2.40 -4.00 2.74 3.22 -8.10 -7.82 10.84 10.84 -7.82 1.22 0.14 0.06 -0.10 3208.77
8 100 10 0.85 0.04 2.67 0.20 1.85 1.79 2.67 2.67 7.29 0.00 7.29 0.04 -2.35 4.50 3.37 1.76 -7.82 10.84 10.84 -7.82 1.34 0.12 0.00 -0.06 3471.99
9 100 10 0.90 0.05 2.99 0.32 1.98 1.91 2.99 2.99 7.45 0.16 7.31 -1.02 -1.06 6.52 3.68 2.02 -7.82 10.84 10.84 -7.82 1.49 0.15 -0.03 -0.03 3887.04
10 100 10 0.95 0.05 3.16 0.17 2.10 2.03 3.16 3.16 7.35 -0.10 7.31 -1.89 -0.87 3.39 3.72 -3.13 -7.82 10.84 10.84 -7.82 1.65 0.16 -0.05 -0.02 4111.71
11 100 10 1.00 0.05 3.36 0.20 2.21 2.14 3.36 3.36 7.42 0.07 7.32 -2.56 -0.66 4.08 4.91 0.69 -7.82 10.84 10.84 -7.82 1.82 0.16 -0.06 -0.02 4371.42
12 100 10 1.05 0.05 3.55 0.19 2.32 2.25 3.55 3.55 7.39 -0.03 7.33 -2.58 -0.02 3.80 4.62 -0.28 -7.82 10.84 10.84 -7.82 1.99 0.18 -0.06 -0.00 4618.08
13 100 10 1.11 0.06 3.69 0.13 2.43 2.35 3.69 3.69 7.30 -0.09 7.33 -2.60 -0.02 2.31 4.23 -1.49 -7.82 10.84 10.84 -7.82 2.21 0.21 -0.07 -0.00 4791.92
14 100 10 1.15 0.04 4.09 0.40 2.55 2.47 4.09 4.09 7.46 0.16 7.34 -2.23 0.37 9.26 4.70 6.96 -7.82 10.84 10.84 -7.82 2.38 0.18 -0.06 0.01 5309.44
15 100 10 1.20 0.05 4.40 0.31 2.67 2.59 4.40 4.40 7.38 -0.08 7.34 -2.35 -0.12 6.40 5.38 -2.87 -7.82 10.84 10.84 -7.82 2.60 0.22 -0.06 -0.00 5716.60
16 100 10 1.25 0.05 4.59 0.19 2.79 2.71 4.59 4.59 7.34 -0.04 7.34 -2.38 -0.03 3.73 4.67 -2.67 -7.82 10.84 10.84 -7.82 2.84 0.24 -0.06 -0.00 5968.39
17 100 10 1.30 0.05 4.84 0.25 2.91 2.82 4.84 4.84 7.42 0.08 7.34 -2.15 0.23 5.12 4.91 1.40 -7.82 10.84 10.84 -7.82 3.07 0.23 -0.05 0.01 6287.93
18 100 10 1.35 0.05 5.10 0.26 3.03 2.94 5.10 5.10 7.39 -0.04 7.35 -1.94 0.21 4.95 4.96 -0.17 -7.82 10.84 10.84 -7.82 3.33 0.27 -0.05 0.01 6622.29
