datapoint averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
0 100 10 0.0 0.0 2.61963 -0.152831 1.95767 2.71017 3.42113 3.42113 4.26394 -0.0264778 4.87979 15.1212 2.89245 -2.55324 -1.13937 -0.673252 -23.2743 10.6565 2.37528 -3.0328 0.0 0.0 0.378029 0.0723113 3403.48
1 100 10 0.059924978 0.059924978 2.58924 -0.0303893 1.95805 2.7089 3.42113 3.42113 3.96053 -0.303407 4.87924 15.9962 0.87503 -0.507123 -1.07342 2.04612 -23.2743 10.6565 2.37528 -3.0328 0.15516 0.15516 0.399905 0.0218757 3364
2 100 10 0.109961532 0.050036554 2.56011 -0.0291288 1.95841 2.70607 3.42113 3.42113 3.88784 -0.0726959 4.87864 10.1948 -5.80142 -0.58215 -1.04049 -0.0750276 -23.2743 10.6565 2.37528 -3.0328 0.283259 0.128099 0.254869 -0.145036 3326.15
3 100 10 0.160662984 0.050701452 2.54547 -0.0146341 1.95876 2.70196 3.42113 3.42113 3.85374 -0.0340971 4.87802 3.33947 -6.8553 -0.288633 -1.00155 0.293517 -23.2743 10.6565 2.37528 -3.0328 0.412318 0.129059 0.0834869 -0.171382 3307.14
4 100 10 0.220474618 0.059811634 2.53576 -0.00971365 1.95911 2.69737 3.42113 3.42113 3.79108 -0.062656 4.87737 -4.82105 -8.16053 -0.162404 -0.968025 0.126229 -23.2743 10.6565 2.37528 -3.0328 0.563986 0.151668 -0.120526 -0.204013 3294.52
5 100 10 0.279510792 0.059036174 2.53117 -0.00459099 1.95946 2.69193 3.42113 3.42113 3.71314 -0.077945 4.87667 -8.55842 -3.73736 -0.0777657 -0.902695 0.0846383 -23.2743 10.6565 2.37528 -3.0328 0.713417 0.149431 -0.21396 -0.0934341 3288.56
6 100 10 0.329631443 0.050120651 2.50211 -0.029057 1.95978 2.68501 3.42113 3.42113 3.55341 -0.15973 4.87587 -18.9827 -10.4243 -0.579742 -1.09365 -0.501976 -23.2743 10.6565 2.08181 -3.0328 0.838825 0.125408 -0.474568 -0.260607 3250.81
7 100 10 0.379963966 0.050332523 2.51537 0.0132535 1.96012 2.67743 3.42113 3.42113 3.67492 0.121508 4.87515 -19.8155 -0.832748 0.263318 -0.794537 0.843059 -23.2743 10.6565 2.08181 -3.0328 0.96543 0.126605 -0.495386 -0.0208187 3268.02
8 100 10 0.440072561 0.060108595 2.51597 0.000607014 1.96045 2.66906 3.42113 3.42113 3.66917 -0.00574735 4.87443 -19.2634 0.552036 0.0100986 -0.635763 -0.253219 -23.2743 10.6565 2.08181 -3.0328 1.116662 0.151232 -0.481586 0.0138009 3268.81
9 100 10 0.490072923 0.050000362 2.50393 -0.0120392 1.96078 2.65989 3.42113 3.37039 3.63922 -0.0299512 4.87368 -16.027 3.23643 -0.240782 -0.471843 -0.250881 -23.2743 10.6565 2.08181 -3.0328 1.24186 0.125198 -0.400675 0.0809107 3253.17
10 100 10 0.540473958 0.050401035 2.45647 -0.0474668 1.96107 2.65075 3.42113 3.32679 3.34248 -0.296736 4.87276 -11.2297 4.79725 -0.941781 -0.310696 -0.700999 -23.2743 10.6565 2.08181 -3.0328 1.365669 0.123809 -0.280744 0.119931 3191.5
11 100 10 0.599590229 0.059116271 2.43735 -0.0191157 1.96136 2.64186 3.42113 3.29095 3.20335 -0.139132 4.87176 -2.78779 8.44196 -0.323357 -0.29232 0.618424 -23.2743 10.6565 2.08181 -3.0328 1.509756 0.144087 -0.0696947 0.211049 3166.67
12 100 10 0.649687775 0.050097546 2.43735 0 1.96164 2.63332 3.42113 3.25335 3.04325 -0.160105 4.87067 2.2761 5.06389 0 -0.234105 0.323357 -23.2743 10.6565 2.08181 -3.0328 1.631861 0.122105 0.0569025 0.126597 3166.67
13 100 10 0.699959466 0.050271691 2.43735 0 1.96193 2.62516 3.42113 3.25018 2.92158 -0.12167 4.8695 5.53469 3.25859 0 -0.205242 0 -23.2743 10.6565 2.08181 -3.0328 1.754391 0.12253 0.138367 0.0814648 3166.67
14 100 10 0.750614519 0.050655053 2.43735 0 1.96221 2.61741 3.42113 3.25018 2.88468 -0.0368962 4.86831 6.15592 0.621232 0 -0.189001 0 -23.2743 10.6565 2.08181 -3.0328 1.877855 0.123464 0.153898 0.0155308 3166.67
15 100 10 0.810168775 0.059554256 2.43735 0 1.9625 2.60988 3.42113 3.25018 2.78445 -0.100229 4.86706 3.7082 -2.44772 0 -0.181225 0 -23.2743 10.6565 2.08181 -3.0328 2.02301 0.145155 0.092705 -0.0611931 3166.67
16 100 10 0.869675575 0.0595068 2.43735 0 1.96278 2.60315 3.42113 3.25018 2.89273 0.108276 4.86588 -3.2363 -6.9445 0 -0.12325 0 -23.2743 10.6565 2.08181 -3.0328 2.168049 0.145039 -0.0809075 -0.173613 3166.67
17 100 10 0.920535973 0.050860398 2.43735 0 1.96307 2.59738 3.42113 3.25018 2.91024 0.0175125 4.86471 -9.19972 -5.96342 0 -0.149582 0 -23.2743 10.6565 2.08181 -3.0328 2.292014 0.123965 -0.229993 -0.149085 3166.67
18 100 10 0.980035829 0.059499856 2.43735 0 1.96335 2.59282 3.42113 3.25018 2.8218 -0.0884365 4.86349 -14.6869 -5.48721 0 -0.150592 0 -23.2743 10.6565 2.08181 -3.0328 2.437036 0.145022 -0.367173 -0.13718 3166.67
19 100 10 1.040574857 0.060539028 2.43735 0 1.96363 2.58869 3.42113 3.25018 2.83648 0.0146797 4.86228 -20.0818 -5.39489 0 -0.126514 0 -23.2743 10.6565 2.08181 -3.0328 2.584591 0.147555 -0.502045 -0.134872 3166.67
20 100 10 1.099993849 0.059418992 2.43735 0 1.96392 2.58521 3.42113 3.25018 2.95538 0.118898 4.86115 -21.0512 -0.969338 0 -0.0323357 0 -23.2743 10.6565 2.08181 -3.0328 2.729416 0.144825 -0.526279 -0.0242335 3166.67
21 100 10 1.15960385 0.059610001 2.43735 0 1.9642 2.58264 3.42113 3.25018 3.07502 0.119638 4.86008 -20.0474 1.00373 0 0 0 -23.2743 10.6565 2.08181 -3.0328 2.874707 0.145291 -0.501186 0.0250932 3166.67
22 100 10 1.20968994 0.05008609 2.4608 0.0234432 1.96449 2.58052 3.42113 3.25018 3.36961 0.294589 4.85919 -18.9372 1.11018 0.468059 0.0468059 0.468059 -23.2743 10.6565 2.08181 -3.0328 2.997959 0.123252 -0.473431 0.0277545 3197.12
23 100 10 1.269993608 0.060303668 2.43735 -0.0234432 1.96478 2.57856 3.42113 3.25018 3.64314 0.273531 4.85847 -27.0506 -8.11332 -0.388753 0.00793057 -0.856811 -23.2743 10.6565 2.08181 -3.0328 3.14494 0.146981 -0.676264 -0.202833 3166.67
24 100 10 1.320291315 0.050297707 2.51701 0.0796556 1.9651 2.57754 3.42113 3.25018 3.71969 0.0765531 4.85779 -22.8629 4.18762 1.58368 0.166299 1.97244 -23.2743 10.6565 2.08181 -3.0328 3.27154 0.1266 -0.571574 0.104691 3270.16
25 100 10 1.379999044 0.059707729 2.59613 0.0791178 1.96548 2.57913 3.42113 3.25018 43.8813 40.1616 4.881 -19.9942 2.8687 1.32508 0.298807 -0.258599 -23.2743 10.6565 2.08181 -2.72785 3.426549 0.155009 -0.499856 0.0717174 3372.95
26 100 10 1.440536601 0.060537557 2.68393 0.0878062 1.96591 2.58159 3.42113 3.25018 44.4622 0.580908 4.90454 -13.4538 6.54041 1.45044 0.443852 0.125358 -23.2743 10.6565 2.08181 -2.72785 3.589028 0.162479 -0.336346 0.16351 3487.03
27 100 10 1.499784968 0.059248367 2.79557 0.11164 1.9664 2.58438 3.42113 3.25018 9.48755 -34.9747 4.90726 -8.64028 4.81356 1.88427 0.632279 0.433833 -23.2743 10.6565 2.08181 -2.72785 3.754661 0.165633 -0.216007 0.120339 3632.07
28 100 10 1.560200732 0.060415764 2.87513 0.0795565 1.96694 2.58792 3.42113 3.25018 50.8175 41.33 4.93452 3.21981 11.8601 1.31682 0.763961 -0.567459 -23.2743 10.6565 2.08181 -2.72785 3.928364 0.173703 0.0804951 0.296502 3735.44
29 100 10 1.62010203 0.059901298 2.99398 0.118851 1.96755 2.59292 3.42113 3.25018 6.40569 -44.4118 4.9354 9.27083 6.05103 1.98412 0.962372 0.667301 -23.2743 10.6565 2.08181 -2.72785 4.107707 0.179343 0.231771 0.151276 3889.85
30 100 10 1.670396281 0.050294251 2.90109 -0.0928903 1.9681 2.5971 3.42113 3.25018 4.92864 -1.47705 4.93539 15.306 6.03512 -1.84694 0.777679 -3.83105 -23.2743 10.6565 2.08181 -2.72785 4.253615 0.145908 0.382649 0.150878 3769.16
31 100 10 1.729970538 0.059574257 2.87889 -0.0221949 1.96864 2.60121 3.42113 3.25018 4.86599 -0.0626466 4.93535 7.86976 -7.4362 -0.372558 0.740423 1.47438 -23.2743 10.6565 2.08181 -2.72785 4.425123 0.171508 0.196744 -0.185905 3740.33
32 100 10 1.789966812 0.059996274 2.7572 -0.121693 1.96911 2.6042 3.42113 3.25018 6.31578 1.44979 4.93617 11.7935 3.9237 -2.02834 0.490783 -1.65579 -23.2743 10.6565 2.08181 -2.72785 4.590545 0.165422 0.294837 0.0980925 3582.22
33 100 10 1.850044751 0.060077939 2.72665 -0.0305538 1.96956 2.60694 3.42113 3.25018 4.58004 -1.73574 4.93596 0.901013 -10.8924 -0.50857 0.478801 1.51978 -23.2743 10.6565 2.08181 -2.72785 4.754356 0.163811 0.0225253 -0.272311 3542.53
34 100 10 1.909915937 0.059871186 2.67469 -0.0519545 1.96998 2.60917 3.42113 3.25018 4.38257 -0.197474 4.93563 -4.79271 -5.69372 -0.867771 0.233655 -0.359202 -23.2743 10.6565 2.08181 -2.72785 4.914493 0.160137 -0.119818 -0.142343 3475.03
35 100 10 1.970263764 0.060347827 2.61382 -0.0608757 1.97036 2.61073 3.42113 3.25018 4.16546 -0.217102 4.93517 -12.4987 -7.70595 -1.00875 0.000272411 -0.140975 -23.2743 10.6565 2.08181 -2.72785 5.072231 0.157738 -0.312466 -0.192649 3395.93
