Datapoint;Time;TimeDelta;Speed;SpeedDelta;SpeedAverage;Maxspeed;MaxspeedDelta;MaxspeedAverage;Angle;AngleDelta;Acceleration;AccelerationDelta;Distance;DistanceDelta
0;0.30;0.30;0.62;0.62;0.62;4.41;4.41;4.41;0.52;0.52;2.05;2.05;0.19;0.19
1;0.35;0.05;1.28;0.67;1.28;4.66;0.25;4.66;0.50;-0.02;13.32;11.27;0.25;0.06
2;0.40;0.05;1.39;0.10;1.34;4.93;0.26;4.80;0.45;-0.05;2.14;-11.18;0.32;0.07
3;0.45;0.05;1.83;0.44;1.50;5.09;0.17;4.89;0.39;-0.06;8.80;6.66;0.41;0.09
4;0.50;0.05;2.27;0.44;1.69;5.43;0.33;5.03;0.22;-0.17;8.55;-0.25;0.53;0.12
5;0.55;0.05;2.18;-0.09;1.79;5.59;0.16;5.14;0.15;-0.07;-1.92;-10.47;0.63;0.11
6;0.60;0.05;2.30;0.12;1.88;5.92;0.33;5.27;0.06;-0.10;2.43;4.36;0.75;0.11
7;0.65;0.05;2.78;0.48;2.01;6.09;0.17;5.39;0.02;-0.03;9.68;7.24;0.89;0.14
8;0.70;0.05;2.86;0.08;2.11;6.35;0.26;5.51;-0.02;-0.04;1.58;-8.09;1.03;0.15
9;0.75;0.05;3.13;0.27;2.23;6.60;0.25;5.63;-0.04;-0.02;5.35;3.76;1.19;0.16
10;0.80;0.05;3.37;0.24;2.34;6.86;0.26;5.75;-0.06;-0.02;4.97;-0.38;1.35;0.17
11;0.85;0.05;3.55;0.18;2.45;7.15;0.29;5.88;-0.08;-0.02;3.47;-1.50;1.54;0.18
12;0.90;0.05;3.94;0.39;2.57;7.39;0.24;6.00;-0.06;0.02;7.42;3.95;1.74;0.20
13;0.95;0.05;4.08;0.14;2.69;7.55;0.16;6.12;-0.06;0.00;3.04;-4.38;1.93;0.19
14;1.00;0.05;4.37;0.29;2.81;7.81;0.26;6.24;-0.06;-0.00;5.42;2.39;2.16;0.23
15;1.05;0.05;4.54;0.18;2.93;8.06;0.25;6.36;-0.06;-0.00;3.76;-1.66;2.38;0.21
16;1.10;0.05;4.85;0.30;3.05;8.14;0.09;6.48;-0.06;0.00;6.03;2.26;2.62;0.24
17;1.15;0.05;5.12;0.27;3.17;7.95;-0.19;6.56;-0.05;0.01;5.20;-0.82;2.89;0.27
18;1.20;0.05;5.29;0.17;3.29;7.78;-0.17;6.63;-0.05;0.01;3.49;-1.71;3.15;0.26
19;1.25;0.05;5.56;0.27;3.40;7.10;-0.68;6.66;-0.06;-0.01;5.21;1.72;3.43;0.28
20;1.30;0.05;5.76;0.21;3.52;6.62;-0.48;6.65;-0.03;0.02;4.32;-0.89;3.71;0.28
